"","Time.point","Sample","variable","statistic","p"
"1","Pre","WT","Norm.Nuc.NE.mean.Ratio",0.99475763176576,0.90384032163933
"2","Pre","S89A","Norm.Nuc.NE.mean.Ratio",0.955284195889028,0.0112641377187599
"3","Pre","Nterm3A","Norm.Nuc.NE.mean.Ratio",0.986379457571208,0.549819582601048
"4","Pre","Nterm5A","Norm.Nuc.NE.mean.Ratio",0.97491370068537,0.103903936518888
"5","Pre","Cterm4A","Norm.Nuc.NE.mean.Ratio",0.904428480602099,2.62605989640688e-05
"6","Pre","9A","Norm.Nuc.NE.mean.Ratio",0.95225682585184,0.00403845061613987
"7","Anaphase","WT","Norm.Nuc.NE.mean.Ratio",0.992346679603882,0.673782239870501
"8","Anaphase","S89A","Norm.Nuc.NE.mean.Ratio",0.989011403499737,0.78170235141446
"9","Anaphase","Nterm3A","Norm.Nuc.NE.mean.Ratio",0.98247767495205,0.334649977913271
"10","Anaphase","Nterm5A","Norm.Nuc.NE.mean.Ratio",0.978190998526809,0.170489776406763
"11","Anaphase","Cterm4A","Norm.Nuc.NE.mean.Ratio",0.978834605949258,0.227196090029271
"12","Anaphase","9A","Norm.Nuc.NE.mean.Ratio",0.985338856102844,0.476727055820269
"13","Post","WT","Norm.Nuc.NE.mean.Ratio",0.961765099811518,0.000742304176074627
"14","Post","S89A","Norm.Nuc.NE.mean.Ratio",0.948409372247521,0.00475600002793307
"15","Post","Nterm3A","Norm.Nuc.NE.mean.Ratio",0.967674535100129,0.0383780114688741
"16","Post","Nterm5A","Norm.Nuc.NE.mean.Ratio",0.983243476104411,0.354347658852183
"17","Post","Cterm4A","Norm.Nuc.NE.mean.Ratio",0.988000188704237,0.688857150638926
"18","Post","9A","Norm.Nuc.NE.mean.Ratio",0.984076973589071,0.405347574856298
